month,pnl_dollars,pnl_r,n_trades,win_rate
2023-03,-11364.445083893614,-1.1364445083893613,4,0.0
2023-04,-20000.0,-2.0,2,0.0
2023-05,-61957.41168956992,-6.195741168956992,16,0.4375
2023-06,-7915.78056995895,-0.7915780569958949,10,0.7
2023-07,10615.438240420659,1.0615438240420656,28,0.5357142857142857
2023-08,-2379.22115603989,-0.23792211560398902,6,0.6666666666666666
2023-09,6040.285113326638,0.6040285113326638,8,0.75
2023-10,-20000.0,-2.0,2,0.0
2023-11,21304.841528631838,2.1304841528631844,7,0.7142857142857143
2023-12,-22638.75801019594,-2.263875801019594,5,0.2
2024-01,38247.559664953325,3.824755966495333,12,0.8333333333333334
2024-02,-8059.28842446802,-0.805928842446802,28,0.6428571428571429
2024-03,-51465.6977971849,-5.14656977971849,18,0.5
2024-04,-22649.147797606296,-2.2649147797606295,4,0.0
2024-05,-4500.212832763528,-0.4500212832763528,5,0.8
2024-06,-10166.729676580168,-1.0166729676580168,9,0.6666666666666666
2024-07,-42311.70228605594,-4.231170228605594,16,0.375
2024-09,1585.7844692083759,0.15857844692083758,2,1.0
2024-10,-15793.60799639762,-1.579360799639762,3,0.0
2024-11,15239.25998526331,1.523925998526331,7,0.8571428571428571
2024-12,2299.4564542471,0.2299456454247102,12,0.3333333333333333
2025-01,-4616.850318095603,-0.46168503180956033,6,0.6666666666666666
2025-03,22827.415875318,2.2827415875318007,18,0.5555555555555556
2025-04,-12876.712328767124,-1.2876712328767124,1,0.0
2025-05,-71681.62800250729,-7.1681628002507285,20,0.5
2025-06,59001.60208546864,5.900160208546865,11,0.9090909090909091
2025-07,11586.961780826961,1.158696178082696,10,0.6
2025-08,-18287.516067756816,-1.8287516067756817,12,0.3333333333333333
2025-09,40182.281249556094,4.018228124955609,8,1.0
2025-10,-31118.764134869976,-3.111876413486997,14,0.35714285714285715
2025-11,15284.250887110757,1.5284250887110757,6,0.8333333333333334
2025-12,-84680.14942881001,-8.468014942881002,17,0.35294117647058826
2026-01,97128.75510670763,9.712875510670763,10,1.0
2026-02,-20293.59460238016,-2.0293594602380156,3,0.0
2026-03,-18252.875147446037,-1.8252875147446037,4,0.5
2026-04,-2182.82288358758,-0.21828228835875796,4,0.5
2026-05,-2812.5944293721404,-0.28125944293721394,8,0.75
