,equity
2023-01-02,1000000.0
2023-01-03,1000000.0
2023-01-04,1000000.0
2023-01-05,1000000.0
2023-01-06,1000000.0
2023-01-09,1000000.0
2023-01-10,1000000.0
2023-01-11,1000000.0
2023-01-12,1000000.0
2023-01-13,1000000.0
2023-01-16,1000000.0
2023-01-17,1000000.0
2023-01-18,1000000.0
2023-01-19,1000000.0
2023-01-20,1000000.0
2023-01-23,1000000.0
2023-01-24,1000000.0
2023-01-25,1000000.0
2023-01-26,1000000.0
2023-01-27,1000000.0
2023-01-30,1000000.0
2023-01-31,1000000.0
2023-02-01,1000000.0
2023-02-02,1000000.0
2023-02-03,1000000.0
2023-02-06,1000000.0
2023-02-07,1000000.0
2023-02-08,1000000.0
2023-02-09,1000000.0
2023-02-10,1000000.0
2023-02-13,1000000.0
2023-02-14,1000000.0
2023-02-15,1000000.0
2023-02-16,1000000.0
2023-02-17,1000000.0
2023-02-20,1000000.0
2023-02-21,1000000.0
2023-02-22,1000000.0
2023-02-23,1000000.0
2023-02-24,1000000.0
2023-02-27,1000000.0
2023-02-28,1000000.0
2023-03-01,1000000.0
2023-03-02,1000000.0
2023-03-03,1000000.0
2023-03-06,999596.7741935484
2023-03-07,999596.7741935484
2023-03-08,999596.7741935484
2023-03-09,999234.9320882852
2023-03-10,998022.810876164
2023-03-13,998022.810876164
2023-03-14,998022.810876164
2023-03-15,997861.5205535834
2023-03-16,997861.5205535834
2023-03-17,997861.5205535834
2023-03-20,997861.5205535834
2023-03-21,997861.5205535834
2023-03-22,997861.5205535834
2023-03-23,995691.7092328287
2023-03-24,984263.1378042572
2023-03-27,984263.1378042572
2023-03-28,984263.1378042572
2023-03-29,984263.1378042572
2023-03-30,984427.7719505987
2023-03-31,984198.7643170109
2023-04-03,984198.7643170109
2023-04-04,984198.7643170109
2023-04-05,984198.7643170109
2023-04-06,984198.7643170109
2023-04-07,984198.7643170109
2023-04-10,984198.7643170109
2023-04-11,984198.7643170109
2023-04-12,984198.7643170109
2023-04-13,984198.7643170109
2023-04-14,984198.7643170109
2023-04-17,979198.7643170109
2023-04-18,979198.7643170109
2023-04-19,979198.7643170109
2023-04-20,979198.7643170109
2023-04-21,979198.7643170109
2023-04-24,979198.7643170109
2023-04-25,979198.7643170109
2023-04-26,979198.7643170109
2023-04-27,979198.7643170109
2023-04-28,979198.7643170109
2023-05-01,979198.7643170109
2023-05-02,974198.7643170109
2023-05-03,974198.7643170109
2023-05-04,974198.7643170109
2023-05-05,974198.7643170109
2023-05-08,974198.7643170109
2023-05-09,975127.3357455824
2023-05-10,975127.3357455824
2023-05-11,975127.3357455824
2023-05-12,975127.3357455824
2023-05-15,975127.3357455824
2023-05-16,975127.3357455824
2023-05-17,975127.3357455824
2023-05-18,959794.0710862153
2023-05-19,960088.1887332741
2023-05-22,961247.6090231292
2023-05-23,960047.6090231292
2023-05-24,959966.213674292
2023-05-25,959714.6111101895
2023-05-26,960623.7020192803
2023-05-29,960623.7020192803
2023-05-30,950623.7020192803
2023-05-31,950623.7020192803
2023-06-01,945623.7020192803
2023-06-02,945623.7020192803
2023-06-05,945623.7020192803
2023-06-06,945623.7020192803
2023-06-07,945623.7020192803
2023-06-08,945956.2962543136
2023-06-09,946684.5958975954
2023-06-12,948394.333117348
2023-06-13,947501.7131715427
2023-06-14,948114.6789506262
2023-06-15,948114.6789506262
2023-06-16,948114.6789506262
2023-06-19,948114.6789506262
2023-06-20,948114.6789506262
2023-06-21,948114.6789506262
2023-06-22,948114.6789506262
2023-06-23,948114.6789506262
2023-06-26,948114.6789506262
2023-06-27,948114.6789506262
2023-06-28,948114.6789506262
2023-06-29,948114.6789506262
2023-06-30,948114.6789506262
2023-07-03,948114.6789506262
2023-07-04,947841.951677899
2023-07-05,948611.7111280707
2023-07-06,941856.3919791346
2023-07-07,941856.3919791346
2023-07-10,941856.3919791346
2023-07-11,951946.4820692247
2023-07-12,951946.4820692247
2023-07-13,957764.6638874066
2023-07-14,957764.6638874066
2023-07-17,957764.6638874066
2023-07-18,959402.5949218892
2023-07-19,957847.9730731498
2023-07-20,957847.9730731498
2023-07-21,958383.6873588641
2023-07-24,960936.3755309071
2023-07-25,960305.7449002764
2023-07-26,960305.7449002764
2023-07-27,960305.7449002764
2023-07-28,960305.7449002764
2023-07-31,960392.5802347533
2023-08-01,960392.5802347533
2023-08-02,960392.5802347533
2023-08-03,960392.5802347533
2023-08-04,960392.5802347533
2023-08-07,960392.5802347533
2023-08-08,960392.5802347533
2023-08-09,960392.5802347533
2023-08-10,960392.5802347533
2023-08-11,960392.5802347533
2023-08-14,960392.5802347533
2023-08-15,960392.5802347533
2023-08-16,960392.5802347533
2023-08-17,961327.1596740056
2023-08-18,961327.1596740056
2023-08-21,961327.1596740056
2023-08-22,961327.1596740056
2023-08-23,961327.1596740056
2023-08-24,961327.1596740056
2023-08-25,961327.1596740056
2023-08-28,961327.1596740056
2023-08-29,961327.1596740056
2023-08-30,961327.1596740056
2023-08-31,963979.3924209609
2023-09-01,966064.2665323016
2023-09-04,966973.3574413925
2023-09-05,967118.2849776244
2023-09-06,967118.2849776244
2023-09-07,974118.2849776243
2023-09-08,974118.2849776243
2023-09-11,969118.2849776243
2023-09-12,969118.2849776243
2023-09-13,969118.2849776243
2023-09-14,969118.2849776243
2023-09-15,969118.2849776243
2023-09-18,969118.2849776243
2023-09-19,969118.2849776243
2023-09-20,969832.57069191
2023-09-21,970546.8564061957
2023-09-22,971171.8564061957
2023-09-25,971171.8564061957
2023-09-26,971171.8564061957
2023-09-27,971171.8564061957
2023-09-28,971171.8564061957
2023-09-29,971171.8564061957
2023-10-02,971171.8564061957
2023-10-03,971171.8564061957
2023-10-04,971171.8564061957
2023-10-05,971171.8564061957
2023-10-06,971171.8564061957
2023-10-09,971171.8564061957
2023-10-10,971171.8564061957
2023-10-11,971171.8564061957
2023-10-12,971171.8564061957
2023-10-13,966171.8564061957
2023-10-16,966171.8564061957
2023-10-17,966171.8564061957
2023-10-18,966171.8564061957
2023-10-19,966171.8564061957
2023-10-20,966171.8564061957
2023-10-23,966171.8564061957
2023-10-24,966171.8564061957
2023-10-25,966171.8564061957
2023-10-26,966171.8564061957
2023-10-27,966171.8564061957
2023-10-30,966171.8564061957
2023-10-31,966171.8564061957
2023-11-01,966171.8564061957
2023-11-02,974597.2452005817
2023-11-03,974597.2452005817
2023-11-06,974597.2452005817
2023-11-07,974597.2452005817
2023-11-08,974597.2452005817
2023-11-09,974597.2452005817
