month,pnl_dollars,pnl_r,n_trades,win_rate
2023-03,-15801.235682989092,-3.1602471365978184,12,0.16666666666666666
2023-04,-5000.0,-1.0,1,0.0
2023-05,-28575.062297730587,-5.715012459546117,15,0.4666666666666667
2023-06,-2509.0230686541236,-0.5018046137308246,9,0.6666666666666666
2023-07,12277.901284127081,2.4555802568254164,15,0.5333333333333333
2023-08,3586.812186207684,0.7173624372415369,2,1.0
2023-09,7192.463985234729,1.4384927970469459,9,0.8888888888888888
2023-10,-5000.0,-1.0,1,0.0
2023-11,16087.85911848534,3.217571823697068,5,1.0
2023-12,-13387.699715997602,-2.67753994319952,8,0.5
2024-01,6433.359771683355,1.2866719543366711,6,0.8333333333333334
2024-02,1142.710682948665,0.22854213658973277,20,0.55
2024-03,-7939.728506529402,-1.5879457013058804,13,0.46153846153846156
2024-04,-5234.231219675423,-1.0468462439350845,2,0.0
2024-05,-29288.110847993932,-5.857622169598786,4,0.5
2024-06,9015.431861678204,1.8030863723356405,7,1.0
2024-07,-378.1933852781083,-0.07563867705562172,10,0.5
2024-08,3006.812372163805,0.6013624744327609,2,1.0
2024-09,806.605465381592,0.1613210930763184,2,1.0
2024-10,758.2747269522765,0.15165494539045532,8,0.375
2024-11,12037.073418020998,2.4074146836041996,12,0.6666666666666666
2024-12,2110.749284341286,0.4221498568682573,8,0.375
2025-01,6092.390760298497,1.2184781520596994,5,1.0
2025-02,-5000.0,-1.0,1,0.0
2025-03,1690.7803227841978,0.33815606455683955,10,0.6
2025-05,-13446.73221533421,-2.689346443066842,11,0.5454545454545454
2025-06,15507.774405310713,3.1015548810621425,12,0.8333333333333334
2025-07,4888.452598894493,0.9776905197788988,5,0.6
2025-08,2931.3710222797413,0.5862742044559484,7,0.42857142857142855
2025-09,8537.974800360027,1.7075949600720053,7,0.8571428571428571
2025-10,3812.052636477172,0.7624105272954345,16,0.625
2025-11,4474.868313552535,0.8949736627105072,5,0.6
2025-12,-9398.587129850765,-1.879717425970153,15,0.6666666666666666
2026-01,3491.7868049533663,0.6983573609906732,8,0.75
2026-02,-26417.157550185064,-5.283431510037013,8,0.125
2026-03,738.7081346487698,0.14774162692975396,7,0.7142857142857143
2026-04,289.6725440805976,0.05793450881611961,2,0.5
2026-05,2562.0895338468667,0.5124179067693734,7,0.8571428571428571
