ticker,name,last_close,ma240,ma240_change_pct
6515.TW,穎崴,10185.0,3054.3708333333334,6.756988984230716
3037.TW,欣興,803.0,242.96658054987589,6.409926610842187
6861.TW,睿生光電,299.5,76.35020842552186,6.329315885776277
8021.TW,尖點,383.0,139.99572343031565,6.250301685987525
3167.TW,大量,814.0,228.86666666666667,6.227276243521329
8046.TW,南電,916.0,287.7695833206177,6.045046885095728
6830.TW,汎銓,773.0,225.17291666666668,5.979310682943573
3189.TW,景碩,508.0,170.77593752543132,5.55917197753466
2337.TW,旺宏,167.0,50.773125139872235,5.419995572132175
2383.TW,台光電,4440.0,1573.3416666666667,5.376224057242207
4764.TW,雙鍵,247.0,80.88958331743876,4.854520998910106
4989.TW,榮科,106.5,41.25104169050852,4.846652397885265
2368.TW,金像電,1360.0,556.4770833333333,4.571061687409239
2360.TW,致茂,2055.0,811.5375,4.514477666401939
2308.TW,台達電,2165.0,920.6729166666667,4.082291151463768
2485.TW,兆赫,60.900001525878906,27.090833294391633,4.014654073360613
3017.TW,奇鋐,2835.0,1281.4208333333333,3.946218805504542
6715.TW,嘉基,371.0,147.52333332697552,3.9046106983092743
8271.TW,宇瞻,218.0,95.01124992370606,3.8627352288234107
6949.TW,沛爾生醫-創,787.0,379.89618759155275,3.845733959328612
8996.TW,高力,1140.0,527.7979166666667,3.811654599022285
2426.TW,鼎元,59.5,20.64979165395101,3.7493327506541663
3653.TW,健策,5445.0,2418.7291666666665,3.748748927652268
3665.TW,貿聯-KY,2780.0,1268.290532430013,3.695837714487671
6213.TW,聯茂,253.5,117.70999991099039,3.672714461840232
2467.TW,志聖,554.0,232.97916666666666,3.6557106575459297
1711.TW,永光,57.20000076293945,22.273124980926514,3.6451416301099604
4958.TW,臻鼎-KY,383.0,159.3770833015442,3.5748423517112604
4960.TW,誠美材,38.5,15.891874984900157,3.5666766373674497
3443.TW,創意,4120.0,1827.4375,3.5524473543168344
3135.TW,凌航,144.5,65.25187500317891,3.484403453066287
6141.TW,柏承,32.0,13.860166664918264,3.3942136068476625
2313.TW,華通,230.0,112.94791657129923,3.289488724993972
3711.TW,日月光投控,488.5,229.47708333333333,3.2866359101308973
