month,pnl_dollars,pnl_r,n_trades,win_rate
2023-03,-43096.158472314884,-4.3096158472314885,8,0.0
2023-04,-56328.46715328478,-5.632846715328478,4,0.0
2023-05,-98838.71297145337,-9.883871297145337,8,0.25
2023-07,-674.5774892955994,-0.06745774892956005,6,0.5
2023-08,68716.52661463406,6.871652661463406,20,0.7
2023-09,-9748.079510680525,-0.974807951068053,24,0.5
2023-10,-67477.9948378974,-6.747799483789739,8,0.25
2023-11,2497.073439590429,0.24970734395904293,7,0.7142857142857143
2023-12,-47175.77258903357,-4.717577258903358,12,0.3333333333333333
2024-01,-60709.88294645103,-6.070988294645103,25,0.44
2024-02,-36424.65007749276,-3.642465007749276,7,0.2857142857142857
2024-03,10209.90616289745,1.0209906162897453,17,0.8823529411764706
2024-04,-44315.814464272975,-4.431581446427298,6,0.0
2024-05,-25008.1619601975,-2.5008161960197497,12,0.4166666666666667
2024-06,-162640.07693726945,-16.264007693726946,14,0.2857142857142857
2024-07,-113823.14326611563,-11.382314326611564,10,0.2
2024-08,5961.728616892625,0.5961728616892625,2,1.0
2024-10,-12747.64528151388,-1.2747645281513882,8,0.25
2024-11,-19604.565741820723,-1.9604565741820723,10,0.2
2024-12,-211171.34564346512,-21.11713456434651,26,0.6153846153846154
2025-02,20046.768952894934,2.004676895289493,6,0.6666666666666666
2025-03,-96549.33326862517,-9.654933326862517,20,0.45
2025-04,-55459.09704157106,-5.545909704157106,7,0.14285714285714285
2025-05,-76502.1315674037,-7.65021315674037,9,0.0
2025-06,-19014.900235497265,-1.9014900235497265,19,0.5263157894736842
2025-07,-67414.51321915834,-6.741451321915834,17,0.29411764705882354
2025-08,-19298.8419775625,-1.9298841977562504,12,0.3333333333333333
2025-09,-4273.122939964071,-0.427312293996407,6,0.6666666666666666
2025-10,-22806.34412724514,-2.280634412724514,6,0.3333333333333333
2025-11,5091.000489152448,0.5091000489152449,10,0.5
2025-12,-67722.08665077877,-6.772208665077878,18,0.3888888888888889
2026-01,26402.401418886464,2.6402401418886465,28,0.5
2026-02,-35722.67339955924,-3.572267339955924,20,0.55
2026-03,44626.94993420606,4.462694993420606,18,0.8888888888888888
2026-05,3629.418280772762,0.3629418280772762,6,0.6666666666666666
