stop_mode,n_trades,win_rate,avg_r,total_r,profit_factor
atr,218,0.44036697247706424,-0.3013011784295304,-65.68365689763763,0.4988532287032301
fixed,218,0.4724770642201835,-0.28923383068056,-63.05297508836209,0.41974908522804505
