month,pnl_dollars,pnl_r,n_trades,win_rate
2023-03,-1924.3441617331218,-0.3848688323466244,5,0.2
2023-04,-5000.0,-1.0,1,0.0
2023-05,-25046.982587585662,-5.009396517517133,12,0.4166666666666667
2023-06,-2509.0230686541236,-0.5018046137308246,9,0.6666666666666666
2023-07,12277.901284127081,2.4555802568254164,15,0.5333333333333333
2023-08,934.5794392523364,0.18691588785046728,1,1.0
2023-09,7192.463985234729,1.4384927970469459,9,0.8888888888888888
2023-10,-5000.0,-1.0,1,0.0
2023-11,16087.85911848534,3.217571823697068,5,1.0
2023-12,-2851.985430283319,-0.5703970860566638,6,0.6666666666666666
2024-01,6433.359771683355,1.2866719543366711,6,0.8333333333333334
2024-02,1142.710682948665,0.22854213658973277,20,0.55
2024-03,-4134.613195942228,-0.8269226391884456,8,0.5
2024-05,711.8891520060687,0.14237783040121374,2,1.0
2024-06,9015.431861678204,1.8030863723356405,7,1.0
2024-07,-378.1933852781083,-0.07563867705562172,10,0.5
2024-08,3006.812372163805,0.6013624744327609,2,1.0
2024-09,548.0643758155718,0.10961287516311435,1,1.0
2024-10,1611.283104713129,0.3222566209426258,7,0.42857142857142855
2024-11,12471.181945152783,2.494236389030556,10,0.8
2024-12,4470.063157347608,0.8940126314695216,7,0.42857142857142855
2025-01,2342.3907602984973,0.46847815205969945,4,1.0
2025-02,-5000.0,-1.0,1,0.0
2025-03,5346.960207673477,1.0693920415346954,7,0.7142857142857143
2025-05,-13100.245208596962,-2.6200490417193927,10,0.6
2025-06,15507.774405310713,3.1015548810621425,12,0.8333333333333334
2025-07,-3630.0659196240053,-0.726013183924801,4,0.5
2025-08,3700.6017915105103,0.7401203583021021,6,0.5
2025-09,8005.366104707852,1.6010732209415703,6,0.8333333333333334
2025-10,3812.052636477172,0.7624105272954345,16,0.625
2025-11,4474.868313552535,0.8949736627105072,5,0.6
2025-12,2065.948165307558,0.4131896330615116,12,0.75
2026-01,3491.7868049533663,0.6983573609906732,8,0.75
2026-02,-26417.157550185064,-5.283431510037013,8,0.125
2026-03,2198.308482172662,0.4396616964345324,6,0.8333333333333334
2026-04,289.6725440805976,0.05793450881611961,2,0.5
2026-05,2562.0895338468667,0.5124179067693734,7,0.8571428571428571
